11/07/2018 16.23.05	Linea.CaricaMisure errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.23.05	CaricaDati errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.23.05	GestioneSinottico errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.23.05	Timer1 errore: Overflow di un'operazione aritmetica.
11/07/2018 16.23.05	Linea.CaricaMisure errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.23.05	Linea.CaricaMisure errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.23.05	TmrConfigurazione_Tick errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.23.05	GestioneSinottico errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.23.05	Timer1 errore: Overflow di un'operazione aritmetica.
11/07/2018 16.23.06	GestioneSinottico errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.23.06	Timer1 errore: Overflow di un'operazione aritmetica.
11/07/2018 16.23.06	GestioneSinottico errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.23.06	Timer1 errore: Overflow di un'operazione aritmetica.
11/07/2018 16.23.07	GestioneSinottico errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.23.07	Timer1 errore: Overflow di un'operazione aritmetica.
11/07/2018 16.23.07	GestioneSinottico errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.23.07	Timer1 errore: Overflow di un'operazione aritmetica.
11/07/2018 16.23.08	GestioneSinottico errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.23.08	Timer1 errore: Overflow di un'operazione aritmetica.
11/07/2018 16.23.08	GestioneSinottico errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.23.08	Timer1 errore: Overflow di un'operazione aritmetica.
11/07/2018 16.23.09	GestioneSinottico errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.23.09	Timer1 errore: Overflow di un'operazione aritmetica.
11/07/2018 16.23.09	VisualizzaDati_TabSinottico errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.23.09	VisualizzaDati_TabMisure errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.23.09	VisualizzaDati_TabAllarmi errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.23.09	VisualizzaDati_TabQAL2QAL3 errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.23.09	VisualizzaDati_TabConfigurazione errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.23.09	GestioneSinottico errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.23.09	Timer1 errore: Overflow di un'operazione aritmetica.
11/07/2018 16.23.10	GestioneSinottico errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.23.10	Timer1 errore: Overflow di un'operazione aritmetica.
11/07/2018 16.23.10	GestioneSinottico errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.23.10	Timer1 errore: Overflow di un'operazione aritmetica.
11/07/2018 16.23.11	GestioneSinottico errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.23.11	Timer1 errore: Overflow di un'operazione aritmetica.
11/07/2018 16.23.11	GestioneSinottico errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.23.11	Timer1 errore: Overflow di un'operazione aritmetica.
11/07/2018 16.23.12	GestioneSinottico errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.23.12	Timer1 errore: Overflow di un'operazione aritmetica.
11/07/2018 16.23.34	VisualizzaDati_TabSinottico errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.23.34	VisualizzaDati_TabMisure errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
